date,obama_sentiment,obama_frequency,obama_date,trump_sentiment,trump_frequency,trump_date,,,
15/01/2009,0,1,15/01/2009,,,,,,
19/01/2009,0,1,19/01/2009,,,,,,
25/03/2009,0,1,25/03/2009,,,,,,
28/04/2009,0.25,1,28/04/2009,,,,,,
30/04/2009,0,1,30/04/2009,,,,,,
1/05/2009,0.125,1,1/05/2009,,,,,,unique months and years
12/05/2009,0,1,12/05/2009,,,,,,
19/05/2009,0.136363636,1,19/05/2009,,,,,,
20/05/2009,0,1,20/05/2009,,,,,,
22/05/2009,0.2,1,22/05/2009,,,,,,
26/05/2009,0,1,26/05/2009,,,,,,
28/05/2009,0.2,1,28/05/2009,,,,,,
3/06/2009,0,1,3/06/2009,,,,,,
4/06/2009,0.136363636,1,4/06/2009,,,,,,
10/06/2009,0.083333333,2,10/06/2009,,,,,,
18/06/2009,0,1,18/06/2009,,,,,,
19/06/2009,0.75,1,19/06/2009,,,,,,
22/06/2009,0.4,2,22/06/2009,,,,,,
25/06/2009,0,1,25/06/2009,,,,,,
26/06/2009,0.188888889,1,26/06/2009,,,,,,
27/06/2009,0,1,27/06/2009,,,,,,
30/06/2009,0.218181818,2,30/06/2009,,,,,,
15/07/2009,0.0875,2,15/07/2009,,,,,,
23/07/2009,0,1,23/07/2009,,,,,,
27/07/2009,0,1,27/07/2009,,,,,,
28/07/2009,-0.125,1,28/07/2009,,,,,,
29/07/2009,0,1,29/07/2009,,,,,,
4/08/2009,0,1,4/08/2009,,,,,,
7/08/2009,0.1,1,7/08/2009,,,,,,
8/08/2009,0,1,8/08/2009,,,,,,
10/08/2009,0.2,1,10/08/2009,,,,,,
18/08/2009,0,1,18/08/2009,,,,,,
24/08/2009,0,1,24/08/2009,,,,,,
25/08/2009,0,1,25/08/2009,,,,,,
26/08/2009,0.425,2,26/08/2009,,,,,,
27/08/2009,0,1,27/08/2009,,,,,,
31/08/2009,0,1,31/08/2009,,,,,,
8/09/2009,0.275,2,8/09/2009,,,,,,
9/09/2009,0.099166667,10,9/09/2009,,,,,,
10/09/2009,0,1,10/09/2009,,,,,,
15/09/2009,0,1,15/09/2009,,,,,,
16/09/2009,-0.2,1,16/09/2009,,,,,,
18/09/2009,0.3,1,18/09/2009,,,,,,
21/09/2009,0.1,2,21/09/2009,,,,,,
23/09/2009,0.136363636,1,23/09/2009,,,,,,
29/09/2009,0,1,29/09/2009,,,,,,
6/10/2009,0,1,6/10/2009,,,,,,
9/10/2009,0,1,9/10/2009,,,,,,
10/10/2009,0,1,10/10/2009,,,,,,
13/10/2009,0.102777778,1,13/10/2009,,,,,,
19/10/2009,0,1,19/10/2009,,,,,,
20/10/2009,0,1,20/10/2009,,,,,,
23/10/2009,-0.25,1,23/10/2009,,,,,,
28/10/2009,0.5,1,28/10/2009,,,,,,
29/10/2009,0.216666667,1,29/10/2009,,,,,,
6/11/2009,0,1,6/11/2009,,,,,,
7/11/2009,-0.010493827,9,7/11/2009,,,,,,
10/11/2009,0,1,10/11/2009,,,,,,
11/11/2009,0,1,11/11/2009,,,,,,
14/11/2009,0,1,14/11/2009,,,,,,
18/11/2009,0,1,18/11/2009,,,,,,
20/11/2009,1,1,20/11/2009,,,,,,
21/11/2009,0.1,2,21/11/2009,,,,,,
24/11/2009,0.25,3,24/11/2009,,,,,,
25/11/2009,0.25,2,25/11/2009,,,,,,
1/12/2009,0,1,1/12/2009,,,,,,
2/12/2009,0,1,2/12/2009,,,,,,
3/12/2009,-0.2,1,3/12/2009,,,,,,
7/12/2009,0.4,1,7/12/2009,,,,,,
11/12/2009,0,1,11/12/2009,,,,,,
12/12/2009,-0.35,1,12/12/2009,,,,,,
15/12/2009,0,1,15/12/2009,,,,,,
16/12/2009,0.148571429,3,16/12/2009,,,,,,
18/12/2009,0.125,2,18/12/2009,,,,,,
19/12/2009,-0.3,1,19/12/2009,,,,,,
20/12/2009,0,1,20/12/2009,,,,,,
21/12/2009,0.6,1,21/12/2009,,,,,,
22/12/2009,0,1,22/12/2009,,,,,,
23/12/2009,0.03125,1,23/12/2009,,,,,,
24/12/2009,0.1,1,24/12/2009,,,,,,
25/12/2009,0,1,25/12/2009,,,,,,
30/12/2009,0.475,1,30/12/2009,,,,,,
31/12/2009,0.485227273,1,31/12/2009,,,,,,
4/01/2010,0.055555556,3,4/01/2010,,,,,,
5/01/2010,0.4,1,5/01/2010,,,,,,
6/01/2010,0.614285714,2,6/01/2010,,,,,,
7/01/2010,-0.25,2,7/01/2010,,,,,,
8/01/2010,0.2,1,8/01/2010,,,,,,
11/01/2010,0.068181818,1,11/01/2010,,,,,,
12/01/2010,0.193181818,2,12/01/2010,,,,,,
13/01/2010,-0.2,2,13/01/2010,,,,,,
14/01/2010,0.25,1,14/01/2010,,,,,,
15/01/2010,0,2,15/01/2010,,,,,,
16/01/2010,0.4,1,16/01/2010,,,,,,
17/01/2010,0,2,17/01/2010,,,,,,
18/01/2010,0,2,18/01/2010,,,,,,
19/01/2010,0.033333333,3,19/01/2010,,,,,,
20/01/2010,0.026785714,2,20/01/2010,,,,,,
21/01/2010,-0.053571429,4,21/01/2010,,,,,,
22/01/2010,0.180681818,2,22/01/2010,,,,,,
24/01/2010,0,1,24/01/2010,,,,,,
25/01/2010,-0.5,1,25/01/2010,,,,,,
27/01/2010,0.238271605,9,27/01/2010,,,,,,
28/01/2010,0.05,2,28/01/2010,,,,,,
30/01/2010,0,1,30/01/2010,,,,,,
2/02/2010,0.043386243,1,2/02/2010,,,,,,
5/02/2010,0.2,1,5/02/2010,,,,,,
9/02/2010,0.55625,1,9/02/2010,,,,,,
10/02/2010,0,1,10/02/2010,,,,,,
13/02/2010,0.9,1,13/02/2010,,,,,,
14/02/2010,0.268181818,1,14/02/2010,,,,,,
17/02/2010,0.164285714,3,17/02/2010,,,,,,
18/02/2010,-0.156818182,2,18/02/2010,,,,,,
22/02/2010,0.136363636,2,22/02/2010,,,,,,
23/02/2010,0,1,23/02/2010,,,,,,
24/02/2010,0,2,24/02/2010,,,,,,
25/02/2010,0,1,25/02/2010,,,,,,
26/02/2010,0.225,1,26/02/2010,,,,,,
